xorg-xwininfo 1.1.5-1
xorg-xwud 1.0.5-1
xsel 1.2.0.20190821-1
xsensors 0.80-2
yad 6.0-1
yarn 1.22.4-1
yay 9.4.6-2
youtube-music-desktop 1.0-1
zathura 0.4.5-1
zathura-pdf-mupdf 0.3.5-3
zoom 3.5.361976.0301-1
